Max Depth,Train Accuracy,Test Accuracy
1,0.7842323651452282,0.6557377049180327
2,0.7842323651452282,0.6557377049180327
3,0.8589211618257261,0.8032786885245902
4,0.8713692946058091,0.7213114754098361
5,0.941908713692946,0.7704918032786885
6,0.9626556016597511,0.7704918032786885
7,0.979253112033195,0.7704918032786885
8,0.995850622406639,0.7868852459016393
9,1.0,0.8032786885245902
10,1.0,0.8032786885245902
11,1.0,0.8032786885245902
12,1.0,0.8032786885245902
13,1.0,0.8032786885245902
14,1.0,0.8032786885245902
15,1.0,0.8032786885245902
